# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
1.830000000000000071e+00  6.202132024158066304e-02  4.691455173308017867e-02  3.727996905181797660e-02
1.840000000000000080e+00  6.115148216687032318e-02  4.629869891987936636e-02  3.681391004717137622e-02
1.850000000000000089e+00  6.029496682837343080e-02  4.569147768113673153e-02  3.635396630176238042e-02
1.860000000000000098e+00  5.945154539275578770e-02  4.509275593747152228e-02  3.590005216215009370e-02
1.870000000000000107e+00  5.862099355080450241e-02  4.450240387512706397e-02  3.545208328432193634e-02
1.880000000000000115e+00  5.780309141256798761e-02  4.392029390125606891e-02  3.500997661126121346e-02
1.890000000000000124e+00  5.699762340535968058e-02  4.334630060024089598e-02  3.457365035095778805e-02
1.900000000000000133e+00  5.620437817453482338e-02  4.278030069101888128e-02  3.414302395484961755e-02
1.910000000000000142e+00  5.542314848695054086e-02  4.222217298538686464e-02  3.371801809668677208e-02
1.919999999999999929e+00  5.465373113702699098e-02  4.167179834725832227e-02  3.329855465180710239e-02
1.929999999999999938e+00  5.389592685532505756e-02  4.112905965284631427e-02  3.288455667681514788e-02
1.939999999999999947e+00  5.314954021956348751e-02  4.059384175174979986e-02  3.247594838965417452e-02
1.949999999999999956e+00  5.241437956799867293e-02  4.006603142891618924e-02  3.207265515006352957e-02
1.959999999999999964e+00  5.169025691509424730e-02  3.954551736746026586e-02  3.167460344041142517e-02
1.969999999999999973e+00  5.097698786940964288e-02  3.903219011231398583e-02  3.128172084689612165e-02
1.979999999999999982e+00  5.027439155363905982e-02  3.852594203468748951e-02  3.089393604110581698e-02
1.989999999999999991e+00  4.958229052673640558e-02  3.802666729731835754e-02  3.051117876193016124e-02
2.000000000000000000e+00  4.890051070806114564e-02  3.753426182049046655e-02  3.013337979781590889e-02
2.010000000000000231e+00  4.822888130348473162e-02  3.704862324880064950e-02  2.976047096935785161e-02
2.020000000000000018e+00  4.756723473339927871e-02  3.656965091865513329e-02  2.939238511221913680e-02
2.030000000000000249e+00  4.691540656256960179e-02  3.609724582647686614e-02  2.902905606037251007e-02
2.040000000000000036e+00  4.627323543177515319e-02  3.563131059760463182e-02  2.867041862965622606e-02
2.049999999999999822e+00  4.564056299118854354e-02  3.517174945586779705e-02  2.831640860163761250e-02
2.060000000000000053e+00  4.501723383543815293e-02  3.471846819381822075e-02  2.796696270777762616e-02
2.069999999999999840e+00  4.440309544030687783e-02  3.427137414360355294e-02  2.762201861388969074e-02
2.080000000000000071e+00  4.379799810101760171e-02  3.383037614846585300e-02  2.728151490488673128e-02
2.089999999999999858e+00  4.320179487206031455e-02  3.339538453484880431e-02  2.694539106981041002e-02
2.100000000000000089e+00  4.261434150851504954e-02  3.296631108510025138e-02  2.661358748713570435e-02
2.109999999999999876e+00  4.203549640882867783e-02  3.254306901075315617e-02  2.628604541034629608e-02
2.120000000000000107e+00  4.146512055900212351e-02  3.212557292637228945e-02  2.596270695377377036e-02
2.129999999999999893e+00  4.090307747814914824e-02  3.171373882395205762e-02  2.564351507869587488e-02
2.140000000000000124e+00  4.034923316538645277e-02  3.130748404785209382e-02  2.532841357968785775e-02
2.149999999999999911e+00  3.980345604801852066e-02  3.090672727025718658e-02  2.501734707122199586e-02
2.160000000000000142e+00  3.926561693097831152e-02  3.051138846714935779e-02  2.471026097451002601e-02
2.169999999999999929e+00  3.873558894749189185e-02  3.012138889477912473e-02  2.440710150458293842e-02
2.180000000000000160e+00  3.821324751092904093e-02  2.973665106662455246e-02  2.410781565760421880e-02
2.189999999999999947e+00  3.769847026780979993e-02  2.935709873082541221e-02  2.381235119841062370e-02
2.200000000000000178e+00  3.719113705193255459e-02  2.898265684808223192e-02  2.352065664827647160e-02
2.209999999999999964e+00  3.669112983959424423e-02  2.861325157000813371e-02  2.323268127289670332e-02
2.220000000000000195e+00  3.619833270587140273e-02  2.824881021792337993e-02  2.294837507058404211e-02
2.229999999999999982e+00  3.571263178193410243e-02  2.788926126208189638e-02  2.266768876067617663e-02
2.240000000000000213e+00  3.523391521336310256e-02  2.753453430131942020e-02  2.239057377214865446e-02
2.250000000000000000e+00  3.476207311944460449e-02  2.718456004311399846e-02  2.211698223242891670e-02
2.260000000000000231e+00  3.429699755341452522e-02  2.683927028404812717e-02  2.184686695640808765e-02
2.270000000000000018e+00  3.383858246362800998e-02  2.649859789066457208e-02  2.158018143564581146e-02
2.280000000000000249e+00  3.338672365562814909e-02  2.616247678070519889e-02  2.131687982776482582e-02
2.290000000000000036e+00  3.294131875509089674e-02  2.583084190472532612e-02  2.105691694603120320e-02
2.300000000000000266e+00  3.250226717162157941e-02  2.550362922807408381e-02  2.080024824911664086e-02
2.310000000000000053e+00  3.206947006338228823e-02  2.518077571323256575e-02  2.054682983103920876e-02
2.319999999999999840e+00  3.164283030252573042e-02  2.486221930250187909e-02  2.029661841127864200e-02
