#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.26896552E+001  0.70344828E+001 -0.25363181E+002
 -0.26896552E+001  0.72758621E+001 -0.25738421E+002
 -0.26896552E+001  0.75172414E+001 -0.26114123E+002
 -0.26896552E+001  0.77586207E+001 -0.26490282E+002
 -0.26896552E+001  0.80000000E+001 -0.26866887E+002
 
 -0.22758621E+001  0.10000000E+001 -0.18770951E+002
 -0.22758621E+001  0.12413793E+001 -0.18676537E+002
 -0.22758621E+001  0.14827586E+001 -0.18594141E+002
 -0.22758621E+001  0.17241379E+001 -0.18563330E+002
 -0.22758621E+001  0.19655172E+001 -0.18524088E+002
 -0.22758621E+001  0.22068966E+001 -0.18499574E+002
 -0.22758621E+001  0.24482759E+001 -0.18529234E+002
 -0.22758621E+001  0.26896552E+001 -0.18637576E+002
 -0.22758621E+001  0.29310345E+001 -0.18834546E+002
 -0.22758621E+001  0.31724138E+001 -0.19106102E+002
 -0.22758621E+001  0.34137931E+001 -0.19426007E+002
 -0.22758621E+001  0.36551724E+001 -0.19772060E+002
 -0.22758621E+001  0.38965517E+001 -0.20130934E+002
 -0.22758621E+001  0.41379310E+001 -0.20495914E+002
 -0.22758621E+001  0.43793103E+001 -0.20863896E+002
 -0.22758621E+001  0.46206897E+001 -0.21233495E+002
 -0.22758621E+001  0.48620690E+001 -0.21604092E+002
 -0.22758621E+001  0.51034483E+001 -0.21975407E+002
 -0.22758621E+001  0.53448276E+001 -0.22347309E+002
 -0.22758621E+001  0.55862069E+001 -0.22719738E+002
 -0.22758621E+001  0.58275862E+001 -0.23092667E+002
 -0.22758621E+001  0.60689655E+001 -0.23466080E+002
 -0.22758621E+001  0.63103448E+001 -0.23839971E+002
 -0.22758621E+001  0.65517241E+001 -0.24214338E+002
 -0.22758621E+001  0.67931034E+001 -0.24589175E+002
 -0.22758621E+001  0.70344828E+001 -0.24964480E+002
 -0.22758621E+001  0.72758621E+001 -0.25340247E+002
 -0.22758621E+001  0.75172414E+001 -0.25716470E+002
 -0.22758621E+001  0.77586207E+001 -0.26093138E+002
 -0.22758621E+001  0.80000000E+001 -0.26470242E+002
 
 -0.18620690E+001  0.10000000E+001 -0.18357158E+002
 -0.18620690E+001  0.12413793E+001 -0.18262744E+002
 -0.18620690E+001  0.14827586E+001 -0.18180348E+002
 -0.18620690E+001  0.17241379E+001 -0.18150022E+002
 -0.18620690E+001  0.19655172E+001 -0.18115986E+002
 -0.18620690E+001  0.22068966E+001 -0.18092056E+002
 -0.18620690E+001  0.24482759E+001 -0.18122059E+002
 -0.18620690E+001  0.26896552E+001 -0.18230717E+002
 -0.18620690E+001  0.29310345E+001 -0.18428039E+002
 -0.18620690E+001  0.31724138E+001 -0.18699991E+002
 -0.18620690E+001  0.34137931E+001 -0.19020320E+002
 -0.18620690E+001  0.36551724E+001 -0.19366816E+002
 -0.18620690E+001  0.38965517E+001 -0.19726146E+002
 -0.18620690E+001  0.41379310E+001 -0.20091595E+002
 -0.18620690E+001  0.43793103E+001 -0.20460058E+002
