#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.31034483E+001  0.80000000E+001  0.21318270E+001
 
 -0.26896552E+001  0.10000000E+001  0.10213351E+001
 -0.26896552E+001  0.12413793E+001  0.12627144E+001
 -0.26896552E+001  0.14827586E+001  0.15040937E+001
 -0.26896552E+001  0.17241379E+001  0.17440089E+001
 -0.26896552E+001  0.19655172E+001  0.18021477E+001
 -0.26896552E+001  0.22068966E+001  0.18181331E+001
 -0.26896552E+001  0.24482759E+001  0.18306781E+001
 -0.26896552E+001  0.26896552E+001  0.18421585E+001
 -0.26896552E+001  0.29310345E+001  0.18532706E+001
 -0.26896552E+001  0.31724138E+001  0.18643105E+001
 -0.26896552E+001  0.34137931E+001  0.18754294E+001
 -0.26896552E+001  0.36551724E+001  0.18867140E+001
 -0.26896552E+001  0.38965517E+001  0.18982190E+001
 -0.26896552E+001  0.41379310E+001  0.19099826E+001
 -0.26896552E+001  0.43793103E+001  0.19220336E+001
 -0.26896552E+001  0.46206897E+001  0.19343964E+001
 -0.26896552E+001  0.48620690E+001  0.19470931E+001
 -0.26896552E+001  0.51034483E+001  0.19601450E+001
 -0.26896552E+001  0.53448276E+001  0.19735740E+001
 -0.26896552E+001  0.55862069E+001  0.19874027E+001
 -0.26896552E+001  0.58275862E+001  0.20016550E+001
 -0.26896552E+001  0.60689655E+001  0.20163570E+001
 -0.26896552E+001  0.63103448E+001  0.20315364E+001
 -0.26896552E+001  0.65517241E+001  0.20472237E+001
 -0.26896552E+001  0.67931034E+001  0.20634519E+001
 -0.26896552E+001  0.70344828E+001  0.20802575E+001
 -0.26896552E+001  0.72758621E+001  0.20976802E+001
 -0.26896552E+001  0.75172414E+001  0.21157639E+001
 -0.26896552E+001  0.77586207E+001  0.21345571E+001
 -0.26896552E+001  0.80000000E+001  0.21541134E+001
 
