# The following is the Haardt&Madau radiation flux from quasars+galaxies.
# For details see Haardt&Madau ApJ, 764, 125, 2012.
# It has been re-arranged to be readable by KROME, the first value is the redshift,
# then energy in eV, and 3th column is the radiation flux in eV/s/cm2/Hz/sr
# Range of redshift 0-15.66, step-size 0.270
# Range of energy   0.1237-4.997d7 eV in logscale
# Table 59x500
#  Redshift   log10(E(eV))     log10(Jflux)
            59, 500
   0.000     0.5939548E+01    -0.1703553E+02
   0.000     0.5956795E+01    -0.1709774E+02
   0.000     0.5974042E+01    -0.1716098E+02
   0.000     0.5991289E+01    -0.1722569E+02
   0.000     0.6008536E+01    -0.1729228E+02
   0.000     0.6025783E+01    -0.1736062E+02
   0.000     0.6043030E+01    -0.1742994E+02
   0.000     0.6060277E+01    -0.1750029E+02
   0.000     0.6077524E+01    -0.1757341E+02
   0.000     0.6094771E+01    -0.1764825E+02
   0.000     0.6112018E+01    -0.1772389E+02
   0.000     0.6129265E+01    -0.1780180E+02
   0.000     0.6146512E+01    -0.1788129E+02
   0.000     0.6163759E+01    -0.1796243E+02
   0.000     0.6181006E+01    -0.1804504E+02
   0.000     0.6198253E+01    -0.1812889E+02
   0.000     0.6215500E+01    -0.1821363E+02
   0.000     0.6232747E+01    -0.1829875E+02
   0.000     0.6249994E+01    -0.1838468E+02
   0.000     0.6267241E+01    -0.1847081E+02
   0.000     0.6284488E+01    -0.1855655E+02
   0.000     0.6301735E+01    -0.1864150E+02
   0.000     0.6318981E+01    -0.1872534E+02
   0.000     0.6336228E+01    -0.1880743E+02
   0.000     0.6353475E+01    -0.1888657E+02
   0.000     0.6370722E+01    -0.1896199E+02
   0.000     0.6387969E+01    -0.1903302E+02
   0.000     0.6405216E+01    -0.1909961E+02
   0.000     0.6422463E+01    -0.1916191E+02
   0.000     0.6439710E+01    -0.1921837E+02
   0.000     0.6456957E+01    -0.1926886E+02
   0.000     0.6474204E+01    -0.1931466E+02
   0.000     0.6491451E+01    -0.1935590E+02
   0.000     0.6508698E+01    -0.1939311E+02
   0.000     0.6525945E+01    -0.1942710E+02
   0.000     0.6543192E+01    -0.1945745E+02
   0.000     0.6560439E+01    -0.1948579E+02
   0.000     0.6577686E+01    -0.1951312E+02
   0.000     0.6594933E+01    -0.1954018E+02
   0.000     0.6612180E+01    -0.1956731E+02
   0.000     0.6629427E+01    -0.1959438E+02
   0.000     0.6646674E+01    -0.1962153E+02
   0.000     0.6663921E+01    -0.1964865E+02
   0.000     0.6681168E+01    -0.1967575E+02
   0.000     0.6698415E+01    -0.1970283E+02
   0.000     0.6715662E+01    -0.1972989E+02
   0.000     0.6732909E+01    -0.1975685E+02
   0.000     0.6750156E+01    -0.1978411E+02
   0.000     0.6767403E+01    -0.1981102E+02
   0.000     0.6784650E+01    -0.1983809E+02
   0.000     0.6801897E+01    -0.1986525E+02
   0.000     0.6819144E+01    -0.1989229E+02
   0.000     0.6836391E+01    -0.1991935E+02
   0.000     0.6853638E+01    -0.1994647E+02
   0.000     0.6870885E+01    -0.1997352E+02
   0.000     0.6888132E+01    -0.2000053E+02
   0.000     0.6905379E+01    -0.2002753E+02
   0.000     0.6922626E+01    -0.2005418E+02
   0.000     0.6939873E+01    -0.2007802E+02
   0.000     0.6957120E+01    -0.2010186E+02
   0.000     0.6974367E+01    -0.2012570E+02
   0.000     0.6991614E+01    -0.2014954E+02
   0.000     0.7008861E+01    -0.2017338E+02
   0.000     0.7026107E+01    -0.2019722E+02
   0.000     0.7043354E+01    -0.2022106E+02
   0.000     0.7060601E+01    -0.2024490E+02
   0.000     0.7077848E+01    -0.2026874E+02
   0.000     0.7095095E+01    -0.2029258E+02
   0.000     0.7112342E+01    -0.2031642E+02
   0.000     0.7129589E+01    -0.2034026E+02
   0.000     0.7146836E+01    -0.2036410E+02
   0.000     0.7164083E+01    -0.2038794E+02
   0.000     0.7181330E+01    -0.2041178E+02
   0.000     0.7198577E+01    -0.2043562E+02
   0.000     0.7215824E+01    -0.2045946E+02
   0.000     0.7233071E+01    -0.2048330E+02
   0.000     0.7250318E+01    -0.2050714E+02
   0.000     0.7267565E+01    -0.2053098E+02
   0.000     0.7284812E+01    -0.2055482E+02
   0.000     0.7302059E+01    -0.2057866E+02
   0.000     0.7319306E+01    -0.2060250E+02
   0.000     0.7336553E+01    -0.2062634E+02
   0.000     0.7353800E+01    -0.2065018E+02
   0.000     0.7371047E+01    -0.2067402E+02
   0.000     0.7388294E+01    -0.2069786E+02
   0.000     0.7405541E+01    -0.2072170E+02
   0.000     0.7422788E+01    -0.2074554E+02
   0.000     0.7440035E+01    -0.2076938E+02
   0.000     0.7457282E+01    -0.2079322E+02
   0.000     0.7474529E+01    -0.2081706E+02
   0.000     0.7491776E+01    -0.2084090E+02
   0.000     0.7509023E+01    -0.2086474E+02
   0.000     0.7526270E+01    -0.2088858E+02
   0.000     0.7543517E+01    -0.2091242E+02
   0.000     0.7560764E+01    -0.2093626E+02
   0.000     0.7578011E+01    -0.2096010E+02
   0.000     0.7595258E+01    -0.2098394E+02
   0.000     0.7612505E+01    -0.2100778E+02
   0.000     0.7629752E+01    -0.2103162E+02
   0.000     0.7646999E+01    -0.2105546E+02
   0.000     0.7664246E+01    -0.2107930E+02
   0.000     0.7681493E+01    -0.2110314E+02
   0.000     0.7698740E+01    -0.2112698E+02
 
   0.270    -0.9075014E+00    -0.7838741E+01
   0.270    -0.8902544E+00    -0.7819655E+01
   0.270    -0.8730075E+00    -0.7799663E+01
   0.270    -0.8557605E+00    -0.7779132E+01
   0.270    -0.8385135E+00    -0.7758167E+01
   0.270    -0.8212665E+00    -0.7736752E+01
   0.270    -0.8040195E+00    -0.7714976E+01
   0.270    -0.7867726E+00    -0.7692932E+01
   0.270    -0.7695256E+00    -0.7670717E+01
   0.270    -0.7522786E+00    -0.7648379E+01
   0.270    -0.7350316E+00    -0.7626014E+01
   0.270    -0.7177847E+00    -0.7603703E+01
   0.270    -0.7005377E+00    -0.7581351E+01
   0.270    -0.6832907E+00    -0.7559326E+01
   0.270    -0.6660437E+00    -0.7537407E+01
   0.270    -0.6487968E+00    -0.7515687E+01
